[2025-08-29 08:43:12,667] INFO - 🚀 Starting preprocessing...
[2025-08-29 08:43:13,605] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-08-29 08:43:13,630] INFO - 🧹 Cleaning text...
[2025-08-29 08:43:14,920] INFO - ✅ Text cleaned.
[2025-08-29 08:43:14,920] INFO - 🔠 Vectorizing using TF-IDF...
[2025-08-29 08:43:15,141] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-08-29 08:43:15,141] INFO - 📐 Calculating cosine similarity...
[2025-08-29 08:43:15,519] INFO - ✅ Cosine similarity matrix generated.
[2025-08-29 08:43:15,666] INFO - 💾 Data saved to disk.
[2025-08-29 08:43:15,666] INFO - ✅ Preprocessing complete.
[2026-06-15 17:49:09,960] INFO - 🚀 Starting preprocessing...
[2026-06-15 17:49:10,780] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-06-15 17:49:10,780] INFO - 🧹 Cleaning text...
[2026-06-15 17:49:12,026] INFO - ✅ Text cleaned.
[2026-06-15 17:49:12,026] INFO - 🔠 Vectorizing using TF-IDF...
[2026-06-15 17:49:12,277] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2026-06-15 17:49:12,278] INFO - 📐 Calculating cosine similarity...
[2026-06-15 17:49:12,762] INFO - ✅ Cosine similarity matrix generated.
[2026-06-15 17:49:12,905] INFO - 💾 Data saved to disk.
[2026-06-15 17:49:12,905] INFO - ✅ Preprocessing complete.
[2026-06-15 17:54:13,492] INFO - 🚀 Starting preprocessing...
[2026-06-15 17:54:14,249] INFO - ✅ Dataset loaded successfully. Total rows: 3000
[2026-06-15 17:54:14,262] INFO - 🧹 Cleaning text...
[2026-06-15 17:54:15,142] INFO - ✅ Text cleaned.
[2026-06-15 17:54:15,142] INFO - 🔠 Vectorizing using TF-IDF...
[2026-06-15 17:54:15,358] INFO - ✅ TF-IDF matrix shape: (2737, 5000)
[2026-06-15 17:54:15,358] INFO - 📐 Calculating cosine similarity...
[2026-06-15 17:54:15,542] INFO - ✅ Cosine similarity matrix generated.
[2026-06-15 17:54:15,625] INFO - 💾 Data saved to disk.
[2026-06-15 17:54:15,625] INFO - ✅ Preprocessing complete.
